계정과목, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 ,7월,8월,9월,10월,11월,12월
MLB," 484,214,789 "," 444,484,381 "," 407,740,088 "," 418,175,414 "," 521,150,507 "," 322,107,710 ",215304677.6,448382903.3,221287823.9,343169968.9,637294302.4,522737842.2
KIDS," 17,846,124 "," 21,483,939 "," 15,475,467 "," 18,927,400 "," 20,364,611 "," 10,923,491 ",10415609.91,15836210.25,22562281.47,24282049.05,21870988.88,15476881.04
Discovery," 7,391,928 "," 6,739,247 "," 5,658,688 "," 5,928,840 "," 4,263,355 "," 5,291,915 ",6026374.36,3657438.282,9146385.725,22100667.96,11186082.2,22292801.4
Duvetica," 255,668 ", - , - , - , - , - ,0,0,0,0,0,0
Supra," 19,257 ", - , - , - , - , - ,0,0,0,0,0,0
대리상선금, - , - , - , - , - , - ,0,0,0,0,0,0
대리상보증금, - , - , - , - , - , - ,0,0,0,0,0,0
정부보조금, - , - , - , - , - , - ,0,0,0,0,0,0
기타수익," 85,222 "," 69,808 "," 418,751 "," 69,808 "," 79,781 "," 363,950 ",39890.41096,69808.21918,364065.3545,59835.61644,99726.0274,403421.3974
본사,"-309,408,188 ","-380,125,503 ","-267,619,280 ","-98,473,536 ","-26,417,941 ","-41,463,963 ",-305710372,-113358746.4,-260722415.1,-300241679.2,-303314228.5,-196527976
위탁생산,"-16,747,253 ","-37,609,842 ","-31,767,009 ","-4,597,312 ","-5,300,856 ","-4,165,663 ",-36234357.08,-41795775,-48438124.04,-35814638.16,-33019273.89,-20819038.21
본사선급금, - , - , - , - ,"-350,000,000 ", - ,0,0,0,0,-350000000,0
운영비,"-196,306,643 ","-119,234,420 ","-139,577,225 ","-105,044,467 ","-102,565,090 ","-79,707,938 ",-104915441.7,-101682678,-121202583.4,-147292120.6,-126742720.3,-123671522.6
차입금입금," 224,314,923 "," 156,000,000 "," 370,000,000 ", - ," 360,000,000 ", - ,220000000,0,180000000,110000000,350000000,0
차입금상환,"-210,000,000 ","-100,000,000 ","-370,000,000 ","-200,000,000 ","-430,000,000 ","-224,000,000 ",0,-216000000,0,0,-210000000,-210000000
자산성지출,"-2,778,373 ","-880,398 ","-3,936,507 ","-4,131,468 ","-4,348,086 ","-3,026,840 ",-4323721.667,-2455913.29,-2871514.913,-3258123.903,-3138886.351,-657846.0147
