대분류,중분류,소분류,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
TAG매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,445,585,650
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,7,79,45
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,"1,690",445,165,240,443,732,386,437,366,"1,344","1,956","2,004"
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,370,129,185,203,169,452,472,374,272,330,"1,105","1,548"
실판매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,401,516,565
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,7,68,40
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,"1,389",367,138,196,356,609,319,358,305,"1,076","1,505","1,535"
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,311,111,153,167,140,360,384,301,219,266,866,"1,195"
매출원가,매출원가합계,,711,198,121,153,211,408,296,280,220,723,"1,264","1,444"
Tag대비 원가율,Tag대비 원가율합계,,36.20%,36.20%,36.20%,36.20%,36.20%,36.20%,36.20%,36.20%,36.20%,34.00%,33.90%,34.00%
매출총이익,매출총이익합계,,989,279,171,210,285,561,406,380,304,"1,028","1,690","1,891"
오프라인 직접비,매장급여,,89,46,33,33,47,110,71,65,122,244,258,286
오프라인 직접비,매장관리비,,65,14,13,12,30,25,19,19,21,414,-38,186
오프라인 직접비,매장광고비,,70,14,3,14,5,6,5,10,2,407,18,130
오프라인 직접비,물류비(Tag대비),,28,37,27,47,27,91,21,13,32,184,134,71
오프라인 직접비,지급수수료,,29,9,5,6,8,12,7,8,8,30,38,41
오프라인 직접비,매장임차료,,333,99,33,47,83,121,72,82,70,530,605,613
오프라인 직접비,매장감가상각비,,34,34,34,36,51,85,95,93,92,270,257,257
오프라인 직접비,매장기타,,501,62,32,35,38,206,85,41,50,105,102,96
온라인 직접비,지급수수료,,42,18,15,17,15,41,43,35,24,50,122,160
온라인 직접비,매장광고비,,27,28,28,38,35,84,95,36,35,62,53,147
온라인 직접비,매장관리비,,9,3,3,3,3,8,8,6,4,5,21,30
온라인 직접비,물류비(Tag대비),,27,42,33,15,15,27,25,26,18,20,57,54
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,2,2,2
영업비,급여,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,광고비,,275,39,0,0,32,2,10,37,12,300,390,329
영업비,여비교통비,,27,0,0,0,0,0,43,0,26,51,25,25
영업비,지급수수료 일반,,143,0,0,0,53,27,0,26,87,25,0,0
영업비,임차료,,0,0,11,12,13,0,13,0,0,0,0,0
영업비,감가상각비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,보험료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,기타,,0,0,0,0,0,0,0,0,0,0,0,0
직접비+영업비,직접비+영업비 계,,"1,698",445,270,315,455,845,613,496,604,"2,697","2,044","2,427"
영업이익,영업이익 계,,-709,-166,-100,-105,-170,-284,-207,-117,-300,"-1,669",-354,-535
