대분류,중분류,소분류,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
TAG매출,홍콩리테일,리테일,"25,739","10,756","10,216","11,170","11,462","10,065","13,047","13,762","8,466","12,829","13,788","16,777"
TAG매출,홍콩 아울렛,아울렛,"7,723","3,653","4,716","4,448","4,088","3,196","5,262","7,917","12,195","4,704","5,652","6,841"
TAG매출,홍콩온라인,온라인,577,430,278,288,391,603,420,"1,536",766,"1,304","1,870","1,971"
TAG매출,마카오 리테일,리테일,"8,650","5,579","4,442","4,464","4,715","4,002","5,554","7,687","3,457","5,405","5,489","5,705"
TAG매출,마카오 아울렛,아울렛,"2,345","1,416","1,184",976,968,664,"1,093","1,742",817,889,"1,203",983
TAG매출,대만 리테일(V+),리테일,"13,395","6,747","6,252","6,916","10,898","8,895","8,183","8,661","6,574","10,754","13,768","14,161"
TAG매출,대만 아울렛(V+),아울렛,"7,605","3,258","2,619","3,194","3,336","3,437","3,303","3,419","3,053","3,667","4,302","4,426"
TAG매출,대만온라인(V+),온라인,"4,954","4,321","4,181","3,680","4,627","5,185","4,584","3,722","4,168","5,245","8,835","8,443"
실판매출,홍콩리테일,리테일,"22,765","9,613","9,285","9,984","10,140","8,931","11,388","12,030","7,574","11,399","12,273","14,944"
실판매출,홍콩 아울렛,아울렛,"4,524","2,205","2,786","2,694","2,474","1,957","2,898","3,687","4,551","2,770","3,285","4,113"
실판매출,홍콩온라인,온라인,449,321,223,231,330,505,324,771,589,943,"1,337","1,404"
실판매출,마카오 리테일,리테일,"7,631","4,944","4,007","4,020","4,190","3,566","4,907","6,735","3,121","4,840","4,947","5,140"
실판매출,마카오 아울렛,아울렛,"1,365",812,690,604,604,406,590,854,417,534,708,601
실판매출,대만 리테일,리테일,"11,350","5,800","5,014","5,875","9,060","7,674","7,103","7,523","5,638","8,966","11,235","11,442"
실판매출,대만 아울렛,아울렛,"3,906","1,729","1,381","1,744","1,848","1,804","1,740","1,855","1,537","1,845","2,277","2,294"
실판매출,대만온라인,온라인,"3,302","3,208","3,103","2,723","3,514","3,817","3,420","2,833","3,101","3,835","6,541","6,231"
매출원가,매출원가합계,,"23,554","12,187","11,374","11,586","13,347","11,958","13,672","15,820","13,035","14,796","18,127","19,586"
Tag대비 원가율,Tag대비 원가율합계,,33.20%,33.70%,33.60%,33.00%,33.00%,33.20%,33.00%,32.70%,33.00%,33.00%,33.00%,33.00%
매출총이익,매출총이익합계,,"31,738","16,446","15,115","16,290","18,812","16,702","18,697","20,469","13,493","20,337","24,477","26,583"
오프라인 직접비,매장급여,,"3,387","2,639","2,610","2,653","3,064","2,838","3,193","3,250","2,927","3,296","3,344","4,510"
오프라인 직접비,매장관리비,,"1,125","1,012","1,181","1,081","1,130","1,184","1,286","1,246","1,304","1,673","1,135","1,443"
오프라인 직접비,매장광고비,,287,99,89,256,290,218,176,266,170,613,173,690
오프라인 직접비,물류비(Tag대비),,"1,850","1,868","1,720","1,491","1,344","1,287","1,437","1,559","1,667","1,635","1,440","1,350"
오프라인 직접비,지급수수료,,635,357,300,332,375,345,375,398,349,420,456,590
오프라인 직접비,매장임차료,,"9,397","7,443","7,235","7,582","7,769","7,657","7,041","7,846","7,398","8,204","8,624","8,191"
오프라인 직접비,매장감가상각비,,"1,046",957,953,999,967,"1,017","1,084","1,073",925,"1,176","1,162","1,207"
오프라인 직접비,매장기타,,921,455,449,510,587,675,614,732,543,632,673,544
온라인 직접비,지급수수료,,451,398,356,328,412,471,389,441,402,542,920,891
온라인 직접비,매장광고비,,230,322,135,241,189,323,389,220,200,294,508,665
온라인 직접비,매장관리비,,78,59,59,53,62,86,59,48,66,75,121,99
온라인 직접비,물류비(Tag대비),,242,261,223,232,256,316,255,269,262,291,486,381
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,2,2,2
영업비,급여,,797,800,"1,048",930,851,953,903,931,932,947,925,"1,297"
영업비,광고비,,725,460,532,443,691,490,574,620,691,"1,005","1,203","1,055"
영업비,여비교통비,,147,42,68,44,54,92,115,80,86,81,59,93
영업비,지급수수료 일반,,150,7,"1,066",-2,-107,42,2,42,2,7,26,147
영업비,임차료,,196,195,212,206,184,173,184,186,185,168,166,163
영업비,감가상각비,,38,38,38,38,38,38,39,39,59,59,59,49
영업비,보험료,,54,48,49,54,57,58,58,78,56,55,55,58
영업비,기타,,220,380,407,293,420,311,451,448,370,386,324,"1,214"
직접비+영업비,직접비+영업비 계,,"21,977","17,840","18,729","17,764","18,632","18,574","18,624","19,772","18,596","21,561","21,863","24,640"
영업이익,영업이익 계,,"9,761","-1,394","-3,614","-1,474",180,"-1,872",73,697,"-5,103","-1,224","2,614","1,943"
