대분류,중분류,소분류,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
TAG매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,445,585,650
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,7,79,45
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,401,516,565
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,6.85,68,40
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
매출원가,매출원가합계,,0,0,0,0,0,0,0,0,0,145,208,218
Tag대비 원가율,Tag대비 원가율합계,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.68%,32.91%,33.00%
매출총이익,매출총이익합계,,0,0,0,0,0,0,0,0,0,263,375,386
오프라인 직접비,매장급여,,0,0,0,0,0,0,0,0,0,112,122,149
오프라인 직접비,매장관리비,,0,0,0,0,0,0,0,0,0,371,-66,92
오프라인 직접비,매장광고비,,0,0,0,0,0,0,0,0,0,351.20062,0,51.31585
오프라인 직접비,물류비(Tag대비),,0,0,0,0,0,0,0,0,0,139,60.78414,52.59102
오프라인 직접비,지급수수료,,0,0,0,0,0,0,0,0,0,7.36746,9.96362,12.00177
오프라인 직접비,매장임차료,,0,0,0,0,0,0,0,0,0,283,253,251
오프라인 직접비,매장감가상각비,,0,0,0,0,0,0,0,0,0,84.50295,84.50295,84.50295
오프라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,12.59024,13.44121,6.95332
온라인 직접비,지급수수료,,0,0,0,0,0,0,0,0,0,22.65308,18.98248,17.10379
온라인 직접비,매장광고비,,0,0,0,0,0,0,0,0,0,0.1936,0.0947,0.0438
온라인 직접비,매장관리비,,0,0,0,0,0,0,0,0,0,0,0,1.33287
온라인 직접비,물류비(Tag대비),,0,0,0,0,0,0,0,0,0,0.265,2.872,2.1602
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,1.66667,1.66667,1.66667
영업비,급여,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,광고비,,0,0,0,0,0,0,0,0,0,240,190.77265,321.78
영업비,여비교통비,,0,0,0,0,0,0,0,0,0,25.74,0,0
영업비,지급수수료 일반,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,임차료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,감가상각비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,보험료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,기타,,0,0,0,0,0,0,0,0,0,0,0,0
직접비+영업비,직접비+영업비 계,,0,0,0,0,0,0,0,0,0,"1,651",692,"1,044"
영업이익,영업이익 계,,0,0,0,0,0,0,0,0,0,-1387.898038,-316.3883675,-657.2296136
