대분류,중분류,소분류,25년1월,25년2월,25년3월,25년4월,25년5월,25년6월,25년7월,25년8월,25년9월,25년10월,25년11월,25년12월
TAG매출,홍콩,리테일,25738.651,10756.294,10215.741,11170.454,11462.1,10064.658,13047.301,13761.616,8466.455,12383.682,13203.106,16127.114
TAG매출,홍콩,아울렛,7723.49,3652.771,4716.016,4448.239,4088.01,3196.271,5262.475,7917.316,12195.156,4704.408,5651.944,6840.992
TAG매출,홍콩,온라인,576.599,429.594,278.185,288.268,391.392,603.098,420.152,1535.78945,765.624,1296.41,1791.06957,1926.51824
TAG매출,마카오,리테일,8649.847573,5579.040777,4442.249515,4464.476699,4714.827184,4001.616505,5553.645631,7686.976699,3457.149515,5405.237,5488.648544,5705.3
TAG매출,마카오,아울렛,2344.540777,1415.691262,1184.264078,976.130097,968.092233,664.198058,1093.414563,1741.934951,817.387379,889.036,1202.58932,982.92233
TAG매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,리테일,22765.4585,9613.051,9284.5145,9984.485,10140.0915,8931.186,11387.8635,12030.266,7574.0865,10997.225,11757.56218,14379.35643
실판매출,홍콩,아울렛,4524.04,2204.8545,2786.422,2694.107,2474.232,1956.9125,2897.743,3686.91475,4550.5798,2770.1855,3284.696,4113.257
실판매출,홍콩,온라인,448.8724,321.00203,223.20741,230.77373,329.64038,505.41663,323.74333,771.16844,589.02733,935.882,1269.17347,1363.46072
실판매출,마카오,리테일,7630.65436,4944.27233,4006.59903,4020.0733,4189.7398,3565.8767,4907.02573,6734.92815,3121.05534,4839.73058,4947.23495,5139.73689
실판매출,마카오,아울렛,1364.66359,811.83398,690.4233,604.21262,603.54515,406.18388,589.85398,854.42709,417.19029,534.38301,708.44223,601.11117
실판매출,대만,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,0,0,0,0,0,0,0,0,0,0,0,0
매출원가,매출원가합계,,14599.59584,7244.46686,6871.15526,6828.34155,6840.69605,5914.6802,8128.03824,10368.63989,8276.03396,7865.575352,8636.762042,10042.225116
Tag대비 원가율,Tag대비 원가율합계,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
매출총이익,매출총이익합계,,22134.09301,10650.54698,10120.01098,10705.3101,10896.55278,9450.89551,11978.1913,13709.06454,7975.9053,12211.830738,13330.346788,15554.697094
오프라인 직접비,매장급여,,2408.72484,1950.34235,1964.33235,1919.27885,2115.78821,1945.67529,2296.20059,2364.11532,2150.29638,2274.86397,2280.90107,3444.40947
오프라인 직접비,매장관리비,,1019.68806,1010.07019,1102.09232,1067.61592,1054.61953,1140.91919,1185.07651,1141.16116,1224.10479,1234.23068,1187.42928,1197.83618
오프라인 직접비,매장광고비,,54.86141,34.35569,41.37036,97.17056,127.13429,96.4538,66.36904,156.78298,102.81939,62.6179,16.94243,367.52756
오프라인 직접비,물류비(Tag대비),,1503.05617,1448.41925,1318.72487,1047.71567,1003.69149,928.13373,1100.73729,1166.82564,1188.57012,1053.69592,900.45175,994.79959
오프라인 직접비,지급수수료,,382.9718,229.2578,198.34051,204.10489,196.53225,185.14559,228.40573,238.21531,228.07019,232.20802,236.18127,340.6737
오프라인 직접비,매장임차료,,6534.26461,5914.50463,6050.26307,6079.65898,5676.09895,5800.30985,5304.59285,6011.81069,6005.7475,5844.15065,5804.04426,5376.43549
오프라인 직접비,매장감가상각비,,832.17666,742.95972,740.43428,740.4339,645.97795,636.46409,686.36087,669.79764,633.32549,707.67415,711.62189,721.56009
오프라인 직접비,매장기타,,63.09618,44.53446,44.02755,60.92678,48.23515,54.98826,52.9322,137.35524,92.40841,60.53184,150.583,48.56618
온라인 직접비,지급수수료,,82.95823,85.08084,56.709,54.42513,63.4324,85.82675,57.3366,157.11106,90.76407,152.88975,162.33452,169.3637
온라인 직접비,매장광고비,,6.1662,7.17644,4.37198,3.4481,3.92782,5.20278,2.99778,8.58076,3.38522,5.5195,68.9448,65.78925
온라인 직접비,매장관리비,,6.93333,6.93333,6.93333,6.93333,4.38333,4.38333,4.38333,5.81375,6.61379,5.81375,79.1078,76.72749
온라인 직접비,물류비(Tag대비),,23.76468,16.21891,13.39851,12.72564,15.28078,29.61667,21.38008,48.99401,42.34446,51.50009,61.81858,76.01526
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,급여,,478.11483,514.45129,404.40569,610.584,497.1123,588.53915,544.92933,568.66981,585.90094,605.22956,593.43631,966.57826
영업비,광고비,,300.41125,273.34663,350.01717,152.12057,277.21823,268.01303,264.05902,419.17301,415.84822,416.96352,408.44615,420.09331
영업비,여비교통비,,57.13311,6.80096,36.96443,9.71271,6.0568,7.34154,56.92605,41.82085,36.25185,20.8901,13.52205,36.47846
영업비,지급수수료 일반,,7.06197,5.90386,1064.97398,-4.26654,-162.293,12.95573,0.86938,0.737,-86.45449,5.09049,0.65544,121.057753
영업비,임차료,,119.9,116.63387,123.16613,115.21721,84.73332,84.28334,84.75,101.49483,100.48,84.75,83.705,82.66
영업비,감가상각비,,38.21198,38.21198,38.21198,38.21198,37.96809,38.21806,39.33273,39.33272,58.8685,58.95232,58.95232,49.27054
영업비,보험료,,18.6678,17.32678,17.01665,20.45721,17.66205,17.66205,17.66205,17.22675,17.4444,17.4444,17.4444,20.15515
영업비,기타,,182.775505,227.43665,244.22171,193.18424,268.05583,217.76872,217.17991,208.49531,270.78452,241.89752,135.83201,961.66075
직접비+영업비,직접비+영업비 계,,14120.938615,12689.96563,13819.97587,12429.65913,11981.61577,12147.90095,12232.48134,13503.51384,13167.57375,13136.91413,12972.35433,15537.658183
영업이익,영업이익 계,,8013.154395,-2039.41865,-3699.96489,-1724.34903,-1085.06299,-2697.00544,-254.29004,205.5507,-5191.66845,-925.083392,357.992458,17.038911
