대분류,중분류,소분류,26년1월,26년2월,26년3월,26년4월,26년5월,26년6월,26년7월,26년8월,26년9월,26년10월,26년11월,26년12월
TAG매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,2827.226828,1588.37659,420.2336827,1015.312863,1143.52789,1796.277195,1559.59421,1551.465382,1486.873349,3131.879655,3780.608807,3695.402299
TAG매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,온라인,1876.530132,854.4557646,806.3649083,646.0499295,708.8532988,684.3479979,672.9766369,679.5067725,678.0091719,885.99829,1457.570632,1476.836485
실판매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,2267.3679,1267.012764,345.8501798,855.335396,951.1017955,1500,1309.52381,1309.52381,1261.904762,2619.047619,3142.857143,3142.857143
실판매출,대만,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,온라인,1440.180789,627.4391763,573.9514844,461.2374174,525.3553033,547.6190476,547.6190476,547.6190476,547.6190476,714.2857143,1142.857143,1261.904762
매출원가,매출원가합계,,1622.796151,842.7771622,423.1765139,573.1701635,639.0715103,855.8156914,770.236942,769.6853932,746.8844697,1386.167891,1807.171907,1784.42238
Tag대비 원가율,Tag대비 원가율합계,,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%
매출총이익,매출총이익합계,,2084.752537,1051.674778,496.6251503,743.4026499,837.3855885,1191.803356,1086.905915,1087.457464,1062.63934,1947.165442,2478.542379,2620.339524
오프라인 직접비,매장급여,,143.1802995,143.0405791,115.1626206,155.9954969,177.0694586,162.5696855,168.667807,159.6274373,169.0658204,270.6326339,274.3511821,270.8409552
오프라인 직접비,매장관리비,,27.64608341,39.73823158,24.91273718,44.69530148,53.43960608,41.64558944,47.29204212,47.3071468,50.46538571,73.18857541,45.16335285,66.3591748
오프라인 직접비,매장광고비,,24.85830962,25.16025879,8.047571123,25.34923423,22.34463207,28.03817826,19.78387113,22.63975243,8.27337551,88.71914359,32.41034243,42.20027456
오프라인 직접비,물류비(Tag대비),,34.147259,24.35834511,54.75760328,47.93205829,32.88329064,53.14331887,55.48847236,50.44017391,78.64178367,125.4736695,146.6935146,83.08259393
오프라인 직접비,지급수수료,,41.26617993,27.12748816,8.018115319,14.63047727,17.60413817,35.0472055,21.72960824,22.15552123,17.71695714,53.0956353,60.64698561,74.27315264
오프라인 직접비,매장임차료,,533.4354659,296.422994,74.66260831,180.7580968,202.150904,315.2124815,275.4673464,275.2150648,265.7463571,548.7243306,658.9599966,659.1270183
오프라인 직접비,매장감가상각비,,171.8804603,172.1531444,170.4712929,199.214192,212.031285,232.0336108,231.0222189,229.9161443,229.8169083,285.4539976,284.7578164,280.906005
오프라인 직접비,매장기타,,82.03390669,82.95010039,74.21488009,80.8283643,80.91716197,120.9607565,117.3907648,71.88443171,75.92106735,133.0310521,120.6149062,88.6234927
온라인 직접비,지급수수료,,104.3831209,143.0001735,64.71440143,55.33612094,62.62191938,59.85955152,59.22754728,57.60554529,57.32014214,74.96724424,134.4756959,145.6556217
온라인 직접비,매장광고비,,81.40403415,86.61485833,80.41508137,60.97929089,63.06508169,74.10961727,77.83777581,69.09096669,67.2703686,91.91986383,119.1163174,131.4574553
온라인 직접비,매장관리비,,15.43794085,34.69249647,8.615822676,6.864438231,8.702842506,11.77406226,11.77406226,11.77406226,11.77406226,15.69874968,27.47281194,30.78278857
온라인 직접비,물류비(Tag대비),,43.72082663,51.57829503,36.64252927,41.12650617,38.32234961,42.26531097,42.26531097,42.26531097,42.26531097,55.49228578,91.2966304,100.2665699
온라인 직접비,매장기타,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,급여,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,광고비,,27.72,34.4,20.65,71.8,75,56.04870129,56.04870129,56.04870129,56.04870129,56.04870129,56.04870129,56.04870129
영업비,여비교통비,,6.67,1.6,0,0.55,16,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975,10.0975
영업비,지급수수료 일반,,0.14,0,49.1,4.11,20,33.34728908,33.34728908,33.34728908,33.34728908,33.34728908,33.34728908,33.34728908
영업비,임차료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,감가상각비,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,보험료,,0,0,0,0,0,0,0,0,0,0,0,0
영업비,기타,,0,0,0,0,0,0,0,0,0,0,0,0
직접비+영업비,직접비+영업비 계,,1337.923887,1162.836965,790.3852635,990.1695777,1082.15267,1276.152859,1227.440318,1159.415048,1173.77103,1915.890672,2095.453043,2073.068593
영업이익,영업이익 계,,746.8286502,-111.162187,-293.7601132,-246.7669278,-244.7670811,-84.34950254,-140.5344025,-71.95758415,-111.1316897,31.27477033,383.0893363,547.2709312
