대분류,중분류,소분류,26년1월,26년2월,26년3월,26년4월,26년5월,26년6월,26년7월,26년8월,26년9월,26년10월,26년11월,26년12월
TAG매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
TAG매출,대만,리테일,10649.07313,12128.68298,7259.900832,6840.905233,9726.757391,7690.863829,7574.825191,8257.238636,7537.496586,11296.2246,11254.30011,12836.10122
TAG매출,대만,아울렛,4187.605494,6425.527379,2386.877439,3501.658269,3302.070815,3308.476292,3388.386975,3598.449632,3201.043011,3758.719495,4124.816951,6589.807589
TAG매출,대만,온라인,5138.529885,4920.57708,5212.405803,3807.573228,4457.510439,4211.382304,3772.831773,3360.350534,3927.759689,4949.91343,7522.150691,6040.449353
실판매출,홍콩,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,홍콩,온라인,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,리테일,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,마카오,아울렛,0,0,0,0,0,0,0,0,0,0,0,0
실판매출,대만,리테일,9062.71487,10402.98783,6293.666087,5778.571429,8085.714286,6614.285714,6542.857143,7171.428571,6471.428571,9621.428571,9445.238095,10621.42857
실판매출,대만,아울렛,2221.051909,3354.028482,1322.209087,1911.904762,1828.571429,1738.095238,1785.714286,1952.380952,1619.047619,1888.095238,2190.47619,3114.285714
실판매출,대만,온라인,3858.989635,3802.945839,4004.416267,2800,3373.809524,3059.52381,2773.809524,2540.47619,2904.761905,3595.238095,5392.857143,4835.714286
매출원가,매출원가합계,,"6,891","8,099","5,126","4,882","6,033","5,248","5,084","5,250","5,060","6,902","7,901","8,786"
Tag대비 원가율,Tag대비 원가율합계,,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%,36.23%
매출총이익,매출총이익합계,,"8,251","9,461","6,494","5,609","7,255","6,164","6,018","6,415","5,935","8,203","9,128","9,786"
오프라인 직접비,매장급여,,780.609083,948.6631467,692.9156337,610.4244344,834.5643912,770.5261501,756.3211002,783.0156153,714.1389562,902.1533711,923.1755493,901.188984
오프라인 직접비,매장관리비,,212.1064225,150.645745,192.3616191,113.5126446,175.8690843,158.2850933,198.5436495,219.5792,229.9614192,218.0024258,158.5100961,258.4746942
오프라인 직접비,매장광고비,,145.9888628,127.2030936,64.25660915,112.8941494,120.920961,124.4447555,93.74911204,86.55377391,78.31212326,168.3591501,152.0800855,218.405673
오프라인 직접비,물류비(Tag대비),,387.6394011,377.1133586,419.1983112,361.4764286,308.2484402,271.1137802,293.6734589,368.0958834,475.4583202,462.4029237,451.4935277,340.0908788
오프라인 직접비,지급수수료,,191.432496,215.0135098,131.2167702,114.1419804,172.9255428,156.2158479,132.3778709,150.1052379,125.4426722,184.4203402,207.9892043,233.8920173
오프라인 직접비,매장임차료,,"2,063","2,455","1,429","1,450","1,836","1,584","1,584","1,730","1,546","2,174","2,177","2,512"
