대분류,중분류,소분류,26년1월,26년2월,26년3월,26년4월,26년5월,26년6월,26년7월,26년8월,26년9월,26년10월,26년11월,26년12월
TAG매출,홍콩,리테일,"18,689","24,333","11,530","11,767","13,104","12,989","15,730","16,427","10,906","15,088","16,264","25,319"
TAG매출,홍콩,아울렛,"7,858","8,193","5,268","4,868","5,032","4,165","5,720","6,965","4,163","5,604","6,194","7,984"
TAG매출,홍콩,온라인,"1,481",1631.08897,1134.9762,709.2039624,847.4593434,"1,106",939.4474543,"1,469","1,001","1,540","2,165","1,823"
TAG매출,마카오,리테일,"7,143","9,852","4,936","4,888","5,283","5,109","6,110","8,160","4,042","6,645","6,549","9,211"
TAG매출,마카오,아울렛,"1,492","1,689",839,"1,050","1,203",981.1291254,"1,205",0,0,0,0,0
TAG매출,대만,리테일,"13,476","13,717","7,680","7,946","11,543","9,487","9,134","9,809","9,024","14,428","15,035","16,532"
TAG매출,대만,아울렛,"4,188","6,426","2,387","3,502","3,302","3,308","3,388","3,598","3,201","3,759","4,125","6,590"
TAG매출,대만,온라인,"7,015","5,775","6,019","4,475","5,117","4,896","4,446","4,040","4,606","5,836","8,980","7,517"
실판매출,홍콩,리테일,"16,422","21,066","10,765","10,400","11,450","11,350","13,650","14,300","9,700","13,350","14,450","22,500"
실판매출,홍콩,아울렛,"4,552","5,007","3,181","2,950","3,050","2,550","3,150","3,550","2,200","3,300","3,600","4,800"
실판매출,홍콩,온라인,"1,076",1216.58742,890.75178,520,620,800,680,980,710,"1,130","1,600","1,350"
실판매출,마카오,리테일,"6,385","8,749","4,763","4,400","4,700","4,550","5,400","7,150","3,650","5,950","5,900","8,300"
실판매출,마카오,아울렛,891.35194,"1,054",525.44107,650,750,600,650,0,0,0,0,0
실판매출,대만,리테일,"11,330","11,670","6,640","6,707","9,610","8,114","7,852","8,481","7,733","12,240","12,588","13,764"
실판매출,대만,아울렛,"2,221","3,354","1,322","1,912","1,829","1,738","1,786","1,952","1,619","1,888","2,190","3,114"
실판매출,대만,온라인,"5,299","4,430","4,578","3,348","3,921","3,607","3,321","3,088","3,452","4,310","6,536","6,098"
매출원가,매출원가합계,,"20,239","23,212","13,110","12,832","14,914","13,777","15,213","16,423","12,132","17,381","19,516","24,642"
Tag대비 원가율,Tag대비 원가율합계,,32.99%,32.41%,32.94%,32.73%,32.83%,32.77%,32.60%,32.54%,32.84%,32.86%,32.90%,32.87%
매출총이익,매출총이익합계,,"27,937","33,334","19,555","18,055","21,015","19,533","21,276","23,078","16,932","24,787","27,349","35,284"
오프라인 직접비,매장급여,,"3,439","3,979","3,330","3,352","3,646","3,573","3,557","3,578","3,524","3,701","3,726","5,463"
오프라인 직접비,매장관리비,,"1,411","1,335","1,298","1,923","1,201","1,169","1,246","1,205","1,231","1,179","1,189","1,266"
오프라인 직접비,매장광고비,,216.4093624,180.7868024,157.4463103,251.3858406,247.6947063,249.8746614,214.0595439,207.420503,182.9843686,350.6590536,278.0711879,354.1867075
오프라인 직접비,물류비(Tag대비),,"1,752","1,559","1,721","1,366","1,441","1,248","1,416","1,598","1,264","1,632","1,710","2,118"
오프라인 직접비,지급수수료,,562.0111059,681.168018,385.2647755,402.8765157,519.3620112,466.4865356,464.9024139,512.5876194,359.9303824,539.1159756,593.0861899,795.06517
오프라인 직접비,매장임차료,,"9,057","9,702","7,522","7,701","7,882","8,022","8,022","7,975","7,531","7,829","8,177","9,372"
오프라인 직접비,매장감가상각비,,"1,121","1,127","1,121","1,205","1,328","1,322","1,276","1,308","1,305","1,335","1,321","1,273"
오프라인 직접비,매장기타,,513.3332957,758.6113412,542.821511,500.9518893,536.3649863,582.3455574,624.1891449,691.3403498,527.7269093,645.7367051,601.492875,527.2398457
온라인 직접비,지급수수료,,695.4887607,724.0146686,631.1849347,389.6456323,447.1786201,473.5653867,424.0521354,447.3884418,424.6648203,555.3072027,"1,345",1186.678212
온라인 직접비,매장광고비,,292.047032,377.285862,351.3992764,256.6850868,316.676902,329.8571789,326.4727482,323.9200499,240.0815326,338.5060882,630.974469,508.9670727
온라인 직접비,매장관리비,,106.8317289,94.80098905,82.33714028,66.94628086,73.63302394,91.35185352,68.90661949,56.2647239,70.92796142,84.39472622,154.6605759,109.7699998
온라인 직접비,물류비(Tag대비),,380.6177342,353.7524118,362.3623233,253.2199286,290.68707,293.3838854,257.9942685,254.1950228,261.2323942,331.2064422,568.5789184,456.5259462
온라인 직접비,매장기타,,1.713693883,1.715999466,1.713308356,1.697123685,1.70165596,1.702571417,1.701686185,1.704413223,1.719059796,1.716222564,1.715325087,1.717756567
영업비,급여,,960.0240816,963.56951,966,"1,769","1,042","1,042","1,069","1,069","1,069","1,121","1,121","1,766"
영업비,광고비,,887.8496589,735.3126695,954.0608431,833.17829,925.8129938,760.7237311,842.2959671,703.9845292,804.8519895,829.9249019,948.3430134,848.1562738
영업비,여비교통비,,125.2133513,58.12418234,53.11395027,55.77455574,69.35347442,186.6925006,36.6911288,59.85818082,44.98219918,29.72625864,67.03274516,78.03964826
영업비,지급수수료 일반,,313.2515278,274.5059788,263.8505873,65.81543409,53.22329239,87.45360931,88.35511067,108.3425129,84.66681823,108.0530279,134.4579996,202.6018044
영업비,임차료,,164.44963,164.4718044,163.6362144,162.6222206,170.8927894,173.1322906,170.8608741,168.3480368,168.0856429,167.2476242,165.7771196,164.6951761
영업비,감가상각비,,49.27054,49.27052,49.27054,48.56087,29.51845,28.76692,28.13717,27.40498,26.95628,26.95628,26.95628,26.95628
영업비,보험료,,52.57486235,55.43274617,55.54330793,52.10273806,58.10687149,58.96400519,59.47747138,79.92623637,57.62389755,56.75634345,55.9691262,56.58645881
영업비,기타,,222.2771715,308.5984231,246.3597087,357.1092112,422.5116736,384.5532468,542.6340546,457.1413335,390.1699102,432.2132578,700.6543593,913
직접비+영업비,직접비+영업비 계,,"22,322","23,483","20,258","21,015","20,703","20,545","20,736","20,833","19,570","21,295","23,518","27,488"
