대분류,중분류,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
영업활동,매출수금,MLB,264547326.1,281197525.3,532127937,402772840.1,311334314,266480169.9,253271381.9,507433354.6,267389503.7,492778282.6,569270005.3,452736609.5
영업활동,매출수금,MLB KIDS,15883917.63,14964810.9,25858765.13,27590547.12,16463417.48,12041757.93,7388340.76,34451237.4,23948546.55,21885561.76,33247805.35,27420780.65
영업활동,매출수금,DISCOVERY,,,,,,,,,,,,
영업활동,매출수금,DUVETICA,0,0,0,0,0,0,981535.5,3512905.21,2148661.68,3963155.42,1969576.56,5865886.65
영업활동,매출수금,SUPRA,0,0,0,0,0,0,0,0,2615380.36,3433014.35,604775.35,2213089.54
영업활동,물품대,본사,-150661950.3,-449781519.2,-269414257.2,-163162885.5,-127809478.2,-139386573.5,-157242028.5,-681168832.8,-483322459.8,-256605104.1,-143859862.9,-160603778.4
영업활동,물품대,현지,-2226066.57,-24903659.22,-8911181.55,-14893779.38,-8750161.32,-8468343.86,-5084669.49,-21038317.76,-26599818.54,-27239045.92,-11356685.59,-14076273.69
영업활동,본사선급금,본사선급금,0,0,0,0,0,0,0,0,0,-300000000,0,-1055744.06
from 차입금,,,0,200000000,-170000000,0,-260000000,0,0,200000000,270000000,200000000,-340000000,-160000000
기타수익,,,885218.52,24790945.54,6521696.15,3164393.83,4928251.09,1582874.6,34756849.68,2701100.61,40334341.68,12146101.06,827085.32,2580543.4
영업활동,비용,광고비,-1811021.58,-5557878.32,-22051723.9,-21731600.12,-3092802.4,-5343080.83,-6797242.01,-10406879.36,-8884091.48,-19440024.87,-22650905.79,-15259722.92
영업활동,비용,온라인 플랫폼비용,-15651825.48,-10180051.68,-18237524.92,-11900806.68,-13275689.48,-18049095.93,-10374870.82,-9363933.6,-15538932.42,-24620421.16,-24968437.59,-18372566.85
영업활동,비용,오프라인 매장비용,-18337794.66,-15665906.96,-19843333.28,-20589974.39,-17562150.11,-26570722.14,-15403079.04,-19368832.83,-25683531.56,-25171908.05,-25031192.84,-25253916.96
영업활동,비용,수입관세,-37230619.23,-26629595.79,-41404589.22,-22876299.66,-20890120.81,-17261424.07,-16629113.41,-74165619.43,-78611428.54,-45391266.22,-20178221.09,-25904587.85
영업활동,비용,인건비,-9780638.69,-5386241.82,-15876865.55,-6366311.75,-6380543.28,-6159821.61,-7026598.24,-6769833.22,-7052519.45,-7341481,-6844241.59,-7698112.52
자산성지출,인테리어/VMD,,-3125085.25,-234150.76,-5423409,-575060.13,-2968696.14,-1187087.3,-11426561,-3024229.28,-1316383.23,-1613333.8,-4206016.77,-7268522.66
자산성지출,비품취득,,-1071000.64,-6251083.74,-827418.6,-160743.77,-1701132.04,-499616.62,-242380.36,-2383862.77,-1468158.76,-359130.89,-942625.39,-1055289.9
영업활동,비용,보증금지급,-620100,0,-200000,-283483.84,-294298.75,-203131.32,-2551110.52,-4159987.88,-798417.22,-50000,-500397.27,-884526.42
영업활동,비용,기타,-14176713.61,-3685749.86,-11814900.31,-13219189.77,-22907567.56,-6269803.65,-17200736.52,-25177218.19,-4038270.78,-44271510.85,-6048026.14,-4617086.8
