대분류,중분류1,중분류2,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
영업활동,매출수금,합계,,42456.74194,55046.13681,35748.09524,35828.94474,35503.33333,32814.28571,38722.85714,39408.57143,29160,37989.52381,39416.66667,56830.95238
영업활동,매출수금,홍콩마카오,,"27,307","34,180","17,260","20,920","23,320","20,800","23,530","25,980","16,260","24,330","26,350",38250
영업활동,매출수금,대만,,"15,150","20,866","18,488","14,909","12,183","12,014","15,193","13,429","12,900","13,660","13,067",18580.95238
영업활동,물품대,합계,,"-28,255","-26,846","-18,807","-20,800","-15,971","-15,826","-16,192","-13,366","-10,325","-13,202","-11,390",-18070.65167
영업활동,물품대,홍콩마카오,,"-17,285","-19,049","-12,178","-9,583","-9,848","-9,570","-9,872","-7,143","-4,068","-6,960","-10,183",-11499.05012
영업활동,물품대,대만,,"-10,970","-7,797","-6,629","-11,217","-6,123","-6,257","-6,320","-6,224","-6,257","-6,242","-1,207",-6571.601559
기타수익,기타수익,합계,,2705.229538,0,0,0,0,0,0,0,0,0,0,0
기타수익,기타수익,홍콩마카오,,2704.69019,0,0,0,0,0,0,0,0,0,0,0
기타수익,기타수익,대만,,0.539348371,0,0,0,0,0,0,0,0,0,0,0
영업활동,비용,홍콩마카오,광고비,-559.45718,-385,-481.42,-481.42,-481.42,-481.42,-481.42,-481.42008,-481.42008,-481.42008,-481.42008,-481.42008
영업활동,비용,홍콩마카오,매장 임차료,-6369.06948,-6409.399773,-6095.711593,-6034.625253,-6122.401913,-6096.716583,-6141.306103,-5948.772073,-5698.190243,-5420.536913,-5655.703583,-6515.421913
영업활동,비용,홍콩마카오,매장 운영비,-2673.255466,-3064.842636,-3280.280803,-3624.123591,-3499.221019,-2616.044796,-2434.20388,-2451.42674,-3464.168522,-3165.235519,-3980.926168,-2707.441885
영업활동,비용,홍콩마카오,사무실 운영비,-605.29144,-446.5538,-526.76695,-446.74531,-427.77759,-562.22976,-498.61626,-426.42607,-478.29812,-497.31777,-748.46057,-963.02042
영업활동,비용,홍콩마카오,수입관세,,,,,,,,,,,,
영업활동,비용,홍콩마카오,인건비,-2802.814802,-3271.022693,-2743.469457,-3375.506902,-2847.57155,-2920.234883,-2758.155796,-3189.190069,-3173.449789,-3003.792799,-3274.875504,-3903.461388
영업활동,비용,홍콩마카오,보증금지급,0,0,0,0,0,0,0,0,0,0,0,0
영업활동,비용,홍콩마카오,기타,0,0,0,0,0,0,0,0,0,0,0,0
영업활동,비용,대만,광고비,-510.4686717,-205.3892988,-240.06925,-351.1832485,-443.8179523,-278.7286896,-360.3009256,-221.9894078,-322.856868,-347.9297804,-466.3478919,-277.1262772
영업활동,비용,대만,매장 임차료,-175,"-2,149","-1,582","-1,667","-2,182","-1,925","-1,880","-2,027","-1,833","-2,723","-2,836",-3153.52381
영업활동,비용,대만,매장 운영비,-746.2636591,-2371.285383,-2253.383898,-2286.469488,-2709.805777,-2662.33271,-2608.833998,-2697.376284,-2731.568334,-3481.235728,"-4,623",-3360.354585
영업활동,비용,대만,사무실 운영비,-745.6558897,-344.3369818,-349.5081115,-293.1647197,-373.7539613,-355.2578125,-425.4645496,-472.5202105,-292.111628,-321.5600221,-400.3120599,-572.726956
영업활동,비용,대만,수입관세,-1225.943108,-1655.642994,-1024.569193,-533.5141472,-301.7858809,-345.6826099,-586.6288492,-1837.346875,-1301.383706,-1078.415345,-1286.358845,-418.9620072
영업활동,비용,대만,인건비,-1794.749373,-1061.534337,-1326.892267,-1074.636192,-1368.548312,-1293.05455,-1279.792891,-1300.32054,-1232.577353,-1515.4182,-1540.158926,-1670.567712
영업활동,비용,대만,보증금지급,0,0,0,0,0,0,0,-112.7866964,0,0,0,0
영업활동,비용,대만,기타,0,0,0,0,0,-1311.479449,-13.39574395,0,0,0,0,0
자산성지출,인테리어/VMD,홍콩마카오,,-204.45259,-1145.108683,-578.249733,-700.8681585,-781.2736834,-696.8478822,-788.3091668,-870,-544.747431,-815.1110084,-882.7856585,-1281.463053
자산성지출,인테리어/VMD,대만,,-780.0932331,-225.5639098,-225.2309964,-564.7402643,-891.8753884,-1132.071952,-841.2653564,-969.9038655,-575.2337793,-477.8869991,-502.3995703,-541.0291292
자산성지출,비품취득,합계,,-378,0,0,0,0,0,0,0,0,0,0,0
자산성지출,비품취득,홍콩마카오,,-378,0,0,0,0,0,0,0,0,0,0,0
자산성지출,비품취득,대만,,0,0,0,0,0,0,0,0,0,0,0,0
현금잔액,현금잔액,합계,,27262.11475,32727.31255,28960.1218,22555.13867,19656.07765,13966.47489,15399.39172,18435.23925,15141.45785,16599.89777,17947.77955,30861.56104
현금잔액,현금잔액,홍콩마카오,,20384.86764,20793.85935,12169.51466,8843.138477,8155.047525,6011.733567,6568.080068,12037.94683,10389.78408,14376.28162,15518.69534,26417.41648
현금잔액,현금잔액,대만,,6877.247118,11933.4532,16790.60715,13712.00019,11501.03012,7954.741327,8831.311648,6397.292429,4751.673777,2223.616149,2429.08421,4444.144556
