대분류,중분류1,중분류2,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
영업활동,입금,매출수금,홍콩마카오," 27,307 "," 37,445 "," 21,553 "," 19,501 "," 21,060 "," 19,300 "," 22,080 "," 26,480 "," 15,660 "," 25,584 "," 27,880 "," 40,398 "," 304,247 "
영업활동,입금,매출수금,대만," 15,150 "," 15,663 "," 16,224 "," 16,180 "," 9,109 "," 11,489 "," 12,996 "," 11,222 "," 11,184 "," 9,786 "," 7,858 "," 13,468 "," 150,330 "
영업활동,지출,물품대,홍콩마카오,"-17,285 ","-17,320 ","-6,112 ","-6,867 ","-9,821 ","-8,045 ","-6,843 ","-11,111 ","-2,850 ","-10,331 ","-11,752 ","-22,453 ","-130,790 "
영업활동,지출,물품대,대만,"-10,970 ","-10,130 ","-9,917 ","-10,583 ","-6,123 ","-6,957 ","-5,820 ","-4,724 ","-5,257 ","-6,242 ","-1,207 ","-6,572 ","-84,501 "
기타,기타입금,기타입금,홍콩마카오," 2,705 ", 13 , 227 , 0 , - , - , - , - , - , - , - , - ," 2,944 "
기타,기타입금,기타입금,대만, 1 , 9 , 1 , 71 , - , - , - , - , - , - , - , - , 81 
영업활동,지출,홍콩마카오,광고비,-559 ,-815 ,-686 ,-406 ,-481 ,-481 ,-481 ,-481 ,-481 ,-481 ,-481 ,-481 ,"-6,318 "
영업활동,지출,홍콩마카오,매장 임차료,"-6,369 ","-6,268 ","-6,219 ","-6,264 ","-5,739 ","-6,097 ","-6,141 ","-5,978 ","-5,849 ","-5,291 ","-5,785 ","-6,799 ","-72,799 "
영업활동,지출,홍콩마카오,매장 운영비,"-2,673 ","-3,483 ","-3,482 ","-3,196 ","-3,499 ","-2,616 ","-2,434 ","-2,451 ","-3,464 ","-2,994 ","-3,809 ","-2,536 ","-36,638 "
영업활동,지출,홍콩마카오,사무실 운영비,-605 ,-664 ,-213 ,-308 ,-428 ,-562 ,-499 ,-426 ,-478 ,-497 ,-748 ,-963 ,"-6,392 "
영업활동,지출,홍콩마카오,수입관세,,,,,,,,,,,,, - 
영업활동,지출,홍콩마카오,인건비,"-2,803 ","-4,301 ","-3,324 ","-3,568 ","-2,848 ","-2,920 ","-2,758 ","-3,189 ","-3,173 ","-2,912 ","-3,183 ","-3,812 ","-38,793 "
영업활동,지출,홍콩마카오,보증금지급, - , - ,-54 ,-18 ,-10 ,-24 ,-500 , - , - , - , - , - ,-606 
영업활동,지출,홍콩마카오,기타, - , - , - , - , - , - , - , - , - , - , - , - , - 
영업활동,지출,대만,광고비,-510 ,-298 ,-346 ,-542 ,-444 ,-279 ,-361 ,-223 ,-323 ,-349 ,-467 ,-367 ,"-4,509 "
영업활동,지출,대만,매장 임차료,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,-175 ,"-2,105 "
영업활동,지출,대만,매장 운영비,-746 ,"-1,117 ","-1,237 ","-1,137 ",-971 ,-988 ,"-1,032 ","-1,048 ","-1,176 ","-1,320 ","-1,510 ","-1,271 ","-13,554 "
영업활동,지출,대만,사무실 운영비,-746 ,-234 ,-951 ,-257 ,-376 ,-357 ,-428 ,-475 ,-294 ,-324 ,-402 ,-479 ,"-5,321 "
영업활동,지출,대만,수입관세,"-1,226 ",-863 ,"-1,222 ",-465 ,-498 ,"-1,873 ","-1,484 ","-1,496 ",-711 ,-545 ,-557 ,-714 ,"-11,655 "
영업활동,지출,대만,인건비,"-1,795 ","-1,394 ","-1,581 ","-1,982 ","-1,369 ","-1,284 ","-1,280 ","-1,300 ","-1,233 ","-1,515 ","-1,540 ","-1,515 ","-17,788 "
영업활동,지출,대만,보증금지급, - , - , - , - , - , - , - , - , - , - , - , - , - 
영업활동,지출,대만,기타, - , - , - , - , - ,"-1,311 ",-13 , - , - , - , - , - ,"-1,325 "
자산성지출,지출,인테리어/VMD,홍콩마카오,-204 ,-108 ,"-1,382 ",-182 ,"-2,650 ","-2,600 ","-1,700 ",-700 ,-500 ,-500 , - , - ,"-10,526 "
자산성지출,지출,인테리어/VMD,대만,-780 , - , - ,-574 ,"-1,873 ","-2,005 ",-841 ,-970 ,-877 ,-478 ,-502 ,-541 ,"-9,441 "
자산성지출,지출,비품취득,홍콩마카오,-378 ,-43 ,-12 ,-74 ,-135 ,-323 , - , - ,-50 , - , - , - ,"-1,015 "
자산성지출,지출,비품취득,대만, - , - , - , - , - , - , - , - , - , - , - , - , - 
순현금흐름,Net Cash,수익-지출,홍마대,"-2,664 "," 5,917 "," 1,091 ",-847 ,"-7,271 ","-8,110 "," 2,285 "," 2,954 ",-49 ," 1,415 "," 3,617 "," 5,187 "," 3,525 "
현금잔액,잔액,기말잔액,홍콩마카오," 20,385 "," 24,841 "," 25,136 "," 23,754 "," 19,203 "," 14,835 "," 15,558 "," 17,700 "," 16,514 "," 19,091 "," 21,211 "," 24,565 "," 24,565 "
현금잔액,잔액,기말잔액,대만," 6,877 "," 8,338 "," 9,133 "," 9,669 "," 6,948 "," 3,207 "," 4,769 "," 5,580 "," 6,718 "," 5,556 "," 7,053 "," 8,887 "," 8,887 "
